commit,date,method,throughput,us_per_step,avg_accept_len
670bd53,2026-05-07T13:25:45,Transformer AR,976871,1.02,1.00
670bd53,2026-05-07T13:25:45,DFlash,4078045,1.96,8.00
670bd53,2026-05-07T13:25:45,DDTree Build,357328,2.80,0.00
670bd53,2026-05-07T13:25:45,Speculative (Simulated),1028412,4.86,5.00
670bd53,2026-05-07T13:25:45,Speculative (AR Draft),1443595,4.85,7.00
670bd53,2026-05-07T13:25:45,Prefill (no compress),19555480,3.27,64.00
670bd53,2026-05-07T13:25:45,Prefill (compressed),1973312,3.55,7.00
670bd53,2026-05-07T13:25:45,DDTree (no chain),370331,2.70,16.00
670bd53,2026-05-07T13:25:45,DDTree (chain-seed),397148,2.52,16.00
670bd53,2026-05-07T13:25:45,forward (flat),1207510,0.83,0.00
670bd53,2026-05-07T13:25:45,forward_paged,981219,1.02,0.00
